url,filename,portal,checked,correct labels,Missing labels,wrong GeoNames labels,wrong OSM labels,N,TP,FP,FN,precision,recall,F1
http://data-osi.opendata.arcgis.com/datasets/67b560bcb1804636a8f69236d76b7f20_0.csv,data_gov_ie/5.csv,data_gov_ie,x,c,m,,,17,8,0,9,,,
http://data-osi.opendata.arcgis.com/datasets/e234b82f77aa4344bd0f8719fb4393d0_1.csv,data_gov_ie/6.csv,data_gov_ie,x,c,m,,,9,7,1,1,,,
http://data-osi.opendata.arcgis.com/datasets/001314e29d184e9190f6a950dafd2cb5_3.csv,data_gov_ie/7.csv,data_gov_ie,x,c,m,,,34,32,0,2,,,
http://data-osi.opendata.arcgis.com/datasets/57fa003040e945328c33499c12f3a752_5.csv,data_gov_ie/8.csv,data_gov_ie,x,c,,,,14,14,0,0,,,
http://data-osi.opendata.arcgis.com/datasets/059f9de9770147a2a18c5e5d710839ad_3.csv,data_gov_ie/9.csv,data_gov_ie,x,c,m,,,10,8,0,2,0.984615384615385,0.859060402684564,0.917562724014337
http://opingogn.is/dataset/a5c31d0f-9639-4bdc-beb3-298b2165e1ee/resource/c117ac90-a10c-4020-81d5-cdec8c808d4a/download/logbylaskra-2017.csv,opingogn_is/0.csv,opingogn_is,x,c,m,,,10,5,0,5,,,
http://opingogn.is/dataset/a5c31d0f-9639-4bdc-beb3-298b2165e1ee/resource/e558ef78-48a1-4556-8b9c-61c0998edd71/download/logbylisskra-2016.csv,opingogn_is/1.csv,opingogn_is,x,c,m,,,10,4,0,6,,,
http://opingogn.is/dataset/7ea12ee4-143c-4502-9efb-884773e58209/resource/eaad3718-c9f3-464f-a734-9a87f026790e/download/borholur-26-27042017.csv,opingogn_is/2.csv,opingogn_is,x,c,m,,,30,27,0,3,1,0.72,0.837209302325581
https://data.gov.sk/dataset/c95f9700-18f9-4ae5-b2b9-a76b7ea83a0c/resource/02d5ca68-f965-4746-90f7-3d0ff36c0bf9/download/datasetdotacie2016bodkociarka.csv,data_gov_sk/0.csv,data_gov_sk,x,c,m,,,13,12,0,1,,,
http://www.employment.gov.sk/files/datasety/zoznamsupervizorov.csv,data_gov_sk/1.csv,data_gov_sk,x,c,m,,,10,5,0,5,,,
http://www.employment.gov.sk/files/datasety/mapapodporenychprojektov.csv,data_gov_sk/2.csv,data_gov_sk,x,c,m,,,10,6,0,4,,,
http://www.minedu.sk/data/att/9259.csv,data_gov_sk/3.csv,data_gov_sk,x,c,m,,,10,8,0,2,,,
https://data.gov.sk/dataset/f8ea11b8-3277-46c8-9813-4e168eab732c/resource/0a6052f2-16a9-41f8-a0f6-ace427b0a6d1/download/zoznamevidovanychfariemvcehz.csv,data_gov_sk/4.csv,data_gov_sk,x,c,m,,,10,9,0,1,,,
https://data.gov.sk/dataset/1f266c1e-c0cf-44cd-9443-b72fbee6e05e/resource/9b78ac14-0e3e-40e1-b97c-0c4d31de2ef5/download/zz.csv,data_gov_sk/5.csv,data_gov_sk,x,c,m,,,20,19,0,1,,,
https://data.gov.sk/dataset/399fae8d-db1a-4f73-b060-dcf3aeb04d11/resource/2abfae07-aeed-4fc0-8092-7e5316814c61/download/priemernehodnotyphvanalyzovanejpodenakatastresrk15.11.2017.csv,data_gov_sk/6.csv,data_gov_sk,x,c,m,,,10,8,0,2,,,
https://data.gov.sk/dataset/5cf4f9be-81b0-4a3f-8618-d006b49e289e/resource/88812e45-52f3-44db-a704-97c31b672d29/download/datasetdotacie2014bodkociarka.csv,data_gov_sk/7.csv,data_gov_sk,x,c,m,,,30,26,0,4,,,
https://data.gov.sk/dataset/93481f3f-966d-46fa-9cb7-b7e49e214ea5/resource/12cd21d5-c530-4919-b424-a94837888cb9/download/zoznambielychmiest2017.csv,data_gov_sk/8.csv,data_gov_sk,x,c,,,,20,20,0,0,,,
https://data.gov.sk/dataset/ea2352bf-0cd8-4bf1-8750-2d3fdda58aba/resource/9442d905-8da2-4ff5-9700-81ff788ee449/download/organizaciemdvsr.csv,data_gov_sk/9.csv,data_gov_sk,x,,m,,o,34,0,24,10,0.824817518248175,0.79020979020979,0.807142857142857
http://data.geoportal-wesel.de/OPENDATA/Statistik/Einwohner/EWO_J/EWO_J_0630.csv,govdata_de/0.csv,govdata_de,x,c,,,,1,1,0,0,,,
https://offenedaten-koeln.de/sites/default/files/2012_Schueler_Stadtteil.csv,govdata_de/1.csv,govdata_de,x,c,m,g,,10,2,6,2,,,
http://offenedaten.kdvz-frechen.de/sites/default/files/EWO_990_sim_OpDat269-2015_20161121.csv,govdata_de/2.csv,govdata_de,x,c,m,,,4,3,0,1,,,
http://offenedaten.kdvz-frechen.de/sites/default/files/EWO_990_sim_OpDat244-2010_20161108_0.csv,govdata_de/3.csv,govdata_de,x,c,m,,,9,8,0,1,,,
https://geo.sv.rostock.de/download/opendata/landtagswahl_2011/landtagswahl_2011_ergebnisse.csv,govdata_de/4.csv,govdata_de,x,c,m,,,10,8,0,2,,,
http://offenedaten.kdvz-frechen.de/sites/default/files/EWO_990_sim_OpDat557-2014_20161121.csv,govdata_de/5.csv,govdata_de,x,c,,,,9,9,0,0,,,
https://opendata.bonn.de/sites/default/files/151001_KinderBonn.csv,govdata_de/7.csv,govdata_de,x,c,m,,,30,5,0,19,,,
http://offenedaten.kdvz-frechen.de/sites/default/files/Grabstaetten_Noervenich_20170307.csv,govdata_de/8.csv,govdata_de,x,c,,,,5,5,0,0,,,
https://www.offenesdatenportal.de/dataset/fe11b318-8df5-4e72-aff9-808ad6d2cb49/resource/ca762b45-8538-4e8e-bf12-190b583f50ed/download/gebietsgrosse-nach-ortsteilen.csv,govdata_de/9.csv,govdata_de,x,c,,,,10,10,0,0,0.894736842105263,0.671052631578947,0.766917293233083
http://data.defra.gov.uk/env/rq2006East_200708.csv,data_gov_uk/0.csv,data_gov_uk,x,c,m,,,10,6,0,4,,,
http://publicdata.landregistry.gov.uk/transaction-data/Number-of-applications-in-England-and-Wales-divided-by-local-authority-2017-05.csv,data_gov_uk/1.csv,data_gov_uk,x,c,m,,,10,6,0,4,,,
http://publicdata.landregistry.gov.uk/transaction-data/Number-of-applications-in-England-and-Wales-divided-by-local-authority-2015-12.csv,data_gov_uk/2.csv,data_gov_uk,x,c,m,,,10,7,1,2,,,
http://webarchive.nationalarchives.gov.uk/20140709064818/http://www.landregistry.gov.uk/__data/assets/file/0013/4333/applications_local_authority.csv,data_gov_uk/3.csv,data_gov_uk,x,c,m,,,10,3,0,7,,,
http://data.defra.gov.uk/statistics_2017/table_2_man_lacw_2014_17.csv,data_gov_uk/4.csv,data_gov_uk,x,c,m,,,7,4,0,3,,,
http://publicdata.landregistry.gov.uk/transaction-data/Number-of-applications-in-England-and-Wales-divided-by-local-authority-2015-08.csv,data_gov_uk/5.csv,data_gov_uk,x,c,m,,,10,5,0,5,,,
http://webarchive.nationalarchives.gov.uk/20140709064818/http://www.landregistry.gov.uk/__data/assets/file/0017/30239/applications_local_authority.csv,data_gov_uk/6.csv,data_gov_uk,x,c,m,,,10,9,0,1,,,
https://s3-eu-west-1.amazonaws.com/erg-cabinetoffice/epims/Vacancyopendata08-03-12-ver0.1.csv,data_gov_uk/7.csv,data_gov_uk,x,c,,,,20,10,0,10,,,
http://webarchive.nationalarchives.gov.uk/20140709064818/http://www.landregistry.gov.uk/__data/assets/file/0016/32353/applications_region.csv,data_gov_uk/8.csv,data_gov_uk,x,c,m,,,9,5,0,4,,,
http://publicdata.landregistry.gov.uk/transaction-data/Number-of-applications-in-England-and-Wales-divided-by-local-authority-2017-02.csv,data_gov_uk/9.csv,data_gov_uk,x,c,m,,,10,6,0,4,0.983870967741935,0.580952380952381,0.730538922155689
------,------,------,------,------,------,------,------,------,------,------,------,------,------,------
,,,101,87,53,12,5,1049,679,111,248,0.859493670886076,0.732470334412082,0.790914385556203
